# commit tracker | repo https://github.com/UZDoom/UZDoom | commit URL = <repo>/commit/<sha> | status = pending|ported|adapted|skip | ours = OUR commit(s), '/' if pending/skip, 'zandronum-base' if base-inherited
sha	date	title	status	note	ours
455145d611e0707fbf4f6fbcaf9cf7b82cf1b94e	2014-01-01T11:04:32Z	Stall testing for interpolation	skip	P2P-lockstep transport (TryRunTics/Net_CheckLastRecieved resend); not our C/S model, d_net path unused under client/server	/
853c1c4f1ec963bb28ab6e02b7f59c763b2806b8	2014-01-01T15:51:27Z	Merge branch 'master' of https://github.com/Edward850/zdoom	skip	merge	/
49edd7c60c53376a09c385adf841960f71b81662	2014-01-02T06:59:04Z	- Add support for cross compiling so that OS X PowerPC builds can still be made on systems without rosetta (10.7+). (Compiling x86 binaries on ppc should also be possible.)	ported	inherited (present 25/25 (inherited))	zandronum-base
1e50a0af9ea70967bb4e2d5f343eb23e31e979df	2014-01-02T08:06:06Z	- Hard code gdtoa constants for OS X since the programs can’t always be run on the target.  (The values are the same for GCC and Clang.)	ported	inherited (present 25/25 (inherited))	zandronum-base
50cec119a08d048fc61a38f639a0acbdc1f8f0f3	2014-01-03T00:12:03Z	- Work around GCC 4.8 bug 54570	ported	inherited (present 3/3 (inherited))	zandronum-base
511bdc7208ea0589b059a49b2b43c5f761a53e7b	2014-01-03T00:41:53Z	- Work around GCC 4.8 bug 54570	ported	inherited (present 3/3 (inherited))	zandronum-base
a62996386dc5e4835ff5901f1b159876238fd645	2014-01-03T00:42:15Z	Merge branch 'maint'	skip	merge	/
4770b9b27b0aebf29117ca1345db0cf0d0ea04fc	2014-01-03T06:21:21Z	- Fixed: Rampage timer should only reset when the weapon is ready to be fired.	ported	ported e8840f6 (rampage-ready guard in sbar_mugshot.cpp)	e8840f6
b0f40c07338cea851f03720e7355b4ed71d55705	2014-01-04T05:37:15Z	- So we did end up restoring the variable that the last commit was compensating for.	ported	inherited (present 1/1 (inherited))	zandronum-base
005313c00e61c0ab4bb3934d8dad03fc050c4507	2014-01-04T10:29:02Z	Merge branch 'master' of https://github.com/rheit/zdoom	skip	merge	/
cd3f5db16a8866d7ed2e97a05ab74e1f631feaf2	2014-01-04T21:58:21Z	- Updated gdtoa in order to fix clang warnings.	ported	inherited (present 25/25 (inherited))	zandronum-base
b3f5de356f14e2026cc9e5738e8b58e22e7daa44	2014-01-05T20:46:11Z	- Fixed: SBarInfo's gamemode command used to ignore unknowns (for cross compatibility). On top of restoring the old behavior, generate a warning for only the first ignored instance.	ported	inherited (present 9/9 (inherited))	zandronum-base
d8ff4ec281f97310ac40644cff488b5a7062c256	2014-01-06T00:50:09Z	- Fixed: All clang 5.0 warnings. - Renamed autostart/autozend since Xcode’s build process links in strictly alphabetical order.	ported	inherited (present 21/25 (inherited))	zandronum-base
bbd3106cbb9f44b13694d29e1f7e4ed64a1e888f	2014-01-06T09:04:51Z	Merge commit 'b3f5de356f14e2026cc9e5738e8b58e22e7daa44'	skip	merge	/
fa516c5ee6a1d13ee65484e309a8b3d8a492f1b5	2014-01-07T05:55:32Z	- For some reason __MAC_10_6 is defined in the 10.5 SDK so use MAC_OS_X_VERSION_MAX to check SDK version instead.	ported	REVIEW->present: MAC_OS_X_VERSION_MAX_ALLOWED SDK check	zandronum-base
44c4736de3d49dd0c451504c5544d5692d30828a	2014-01-10T07:16:41Z	- Ignore unknown properties in the GAMEINFO lump instead of throwing an error.	ported	inherited (present 3/3 (inherited))	zandronum-base
db4a23e3c45dbe6db1b4164ad3c18516c9e1e200	2014-01-10T07:19:14Z	Merge branch 'origin/maint'	skip	merge	/
6db974918a67fafd081954714b922e7b2e1d4d30	2014-01-12T05:39:19Z	Treat packets from unknown nodes differently	ported	inherited (present 5/5 (inherited))	zandronum-base
725d3e3f530be44aea34a0ef1acc3915b913c051	2014-01-12T09:53:34Z	Merge branch 'master' of https://github.com/Edward850/zdoom	skip	merge	/
812f2d92300f5f49701dd602fab605f0979ee2ce	2014-01-12T11:02:02Z	- removed all unneeded files from gdtoa/CMakeLists.txt because some compilers seem to throw duplicate symbol errors when strtod gets included.	ported	REVIEW->gdtoa unneeded-files removal already applied	zandronum-base
